"18894,""spm"","""",""408400"",""0"",""13212"",""Yale Mus. No. 1905"",""holotype"","""","""",""femur"","""",""1"",""table"","""",""an identical value is reported by Marsh 1878"",""Apatosaurus grandis"",""species"",""52961"",""recombined as"",""Camarasaurus grandis"",""species"",""52961"",""154.8"",""145"",""18056""";
"18895,""spm"","""",""481755"",""0"",""48127"",""Am. Mus. Nat. Hist. No. 5760"",""holotype"","""","""",""scapula"","""",""1"",""table"","""","""",""Camarasaurus supremus"",""species"",""54168"","""",""Camarasaurus supremus"",""species"",""54168"",""154.8"",""145"",""18056""";
"18896,""spm"","""",""481755"",""0"",""48127"",""Am. Mus. Nat. Hist. No. 5760"",""holotype"","""","""",""coracoid"","""",""1"",""table"","""","""",""Camarasaurus supremus"",""species"",""54168"","""",""Camarasaurus supremus"",""species"",""54168"",""154.8"",""145"",""18056""";
"18897,""spm"","""",""481755"",""0"",""48127"",""Am. Mus. Nat. Hist. No. 5760"",""holotype"","""","""",""humerus"","""",""1"",""table"","""","""",""Camarasaurus supremus"",""species"",""54168"","""",""Camarasaurus supremus"",""species"",""54168"",""154.8"",""145"",""18056""";
"18898,""spm"","""",""481755"",""0"",""48127"",""Am. Mus. Nat. Hist. No. 5760"",""holotype"","""","""",""ilium"","""",""1"",""table"","""","""",""Camarasaurus supremus"",""species"",""54168"","""",""Camarasaurus supremus"",""species"",""54168"",""154.8"",""145"",""18056""";
"18899,""spm"","""",""481755"",""0"",""48127"",""Am. Mus. Nat. Hist. No. 5760"",""holotype"","""","""",""pubis"","""",""1"",""table"","""","""",""Camarasaurus supremus"",""species"",""54168"","""",""Camarasaurus supremus"",""species"",""54168"",""154.8"",""145"",""18056""";
"18900,""spm"","""",""481755"",""0"",""48127"",""Am. Mus. Nat. Hist. No. 5760"",""holotype"","""","""",""ischium"","""",""1"",""table"","""","""",""Camarasaurus supremus"",""species"",""54168"","""",""Camarasaurus supremus"",""species"",""54168"",""154.8"",""145"",""18056""";
"18901,""spm"","""",""481755"",""0"",""48127"",""Am. Mus. Nat. Hist. No. 5760"",""holotype"","""","""",""femur"","""",""1"",""table"","""","""",""Camarasaurus supremus"",""species"",""54168"","""",""Camarasaurus supremus"",""species"",""54168"",""154.8"",""145"",""18056""";
"18902,""spm"","""",""481755"",""0"",""48127"",""Am. Mus. Nat. Hist. No. 5760"",""holotype"","""","""",""tibia"","""",""1"",""table"","""","""",""Camarasaurus supremus"",""species"",""54168"","""",""Camarasaurus supremus"",""species"",""54168"",""154.8"",""145"",""18056""";
"18905,""spm"","""",""408914"",""0"",""13341"",""YPM 1840"",""holotype"","""","""",""femur"","""",""1"",""text"","""","""",""Atlantosaurus immanis"",""species"",""52966"",""nomen dubium"",""Apatosaurinae"",""subfamily"",""66543"",""154.8"",""145"",""7813""";
"18914,""spm"","""",""296465"",""0"",""28366"",""YPM 1920"",""holotype"","""","""",""femur"","""",""1"",""text"","""","""",""Diplodocus longus"",""species"",""52920"","""",""Diplodocus longus"",""species"",""52920"",""152.2"",""146.3"",""7803""";
"18915,""spm"","""",""296465"",""0"",""28366"",""YPM 1920"",""holotype"","""","""",""tibia"","""",""1"",""text"","""","""",""Diplodocus longus"",""species"",""52920"","""",""Diplodocus longus"",""species"",""52920"",""152.2"",""146.3"",""7803""";
