"mass_t","estimate","lower95","upper95"
3.76617860888948,0.00225467826406184,0.00132377094930658,0.00324661111419294
3.88869699282402,0.00216114743630876,0.00124736329395813,0.00312683287457322
4.01520104922945,0.00207043297569648,0.00118365584247829,0.0030117116020905
4.14582043689278,0.00198248287530727,0.00110642993905678,0.0028927959718783
4.28068903255948,0.00189724546813384,0.00103814742810686,0.00278066708146029
4.41994506814886,0.00181466942901311,0.000968894270025663,0.00266808420129523
4.56373127243318,0.00173470377659532,0.000913928585606134,0.00256346014663814
4.71219501732576,0.00165729787534932,0.000858085607392622,0.00245611366607337
4.86548846892798,0.00158240143760554,0.000804142066114984,0.0023556986972784
5.02376874349015,0.00150996452563741,0.000755129787951991,0.00225853586106049
5.18719806844581,0.00143993755378284,0.000704581089716613,0.00216474973550305
5.35594394868481,0.00137227129060689,0.000658565419757119,0.00207231294038197
5.53017933823537,0.00130691686110698,0.000615142365179588,0.00198998431586736
5.71008281753121,0.00124382574896219,0.000573033768488729,0.00190624669989816
5.89583877644538,0.001182949798828,0.00053406799369167,0.00183274966475102
6.08763760327841,0.00112424121867824,0.000494664919018922,0.00175695239512688
6.28567587989449,0.00106765258219565,0.000453513326071098,0.00168524726993068
6.4901565832056,0.00101313683121301,0.000416120528960612,0.00161710679666068
6.70128929321027,0.000960647278206578,0.000380526153803286,0.00154607948039584
6.91929040780001,0.000910137608843617,0.000348834197219521,0.00147767518577456
7.1443833645537,0.000861561884586317,0.000317727830077343,0.00141622929877672
7.37679886974718,0.00081487454535395,0.000285649118086023,0.00135516659855014
7.61677513481286,0.00077003041224567,0.000259886463624475,0.00129799725164772
7.86455812049161,0.000726984690326216,0.000234034424442468,0.00124155585344462
8.12040178892718,0.000685692971477096,0.000211706071509057,0.00118909285411393
8.38456836396167,0.000646111237315804,0.000192111874875685,0.00113551901027011
8.65732859989859,0.000608195862185887,0.000169902391127328,0.00108714248407226
8.93896205900917,0.000571903616220827,0.000150251628971282,0.00104146859795044
9.22975739806636,0.000537191668484807,0.000131681282162176,0.000997206739686874
9.53001266420001,0.000504017590193712,0.000113838209241997,0.00094904741398581
9.84003560037663,0.000472339358019867,0.0000975163446632089,0.000906656885783695
10.1601439608168,0.000442115357484223,0.0000836632313596243,0.000865218269507853
10.4906658366735,0.00041330438643998,0.0000708218906495666,0.000821029636851917
10.8319399923051,0.000385865658651893,0.0000601254092554391,0.000783222957016985
11.1843162124877,0.000359758807475708,0.0000520195398770973,0.00074882527738542
11.5481556609229,0.000334943889642634,0.0000431996824246197,0.000716555241692346
11.923831250408,0.000311381389153891,0.0000349917974422565,0.000685512368410692
12.3117280250485,0.000289032221290939,0.0000290173932257891,0.000654945716515016
12.7122435549042,0.000267857736747218,0.0000237819938466157,0.00062244444784217
13.125788343474,0.00024781972588776,0.000019403401622709,0.000592134642717097
13.5527862484361,0.000228880423143508,0.0000151449276311915,0.000564218015334739
13.9936749160764,0.00021100251154762,0.0000109941354726516,0.000536282030937598
14.448906229848,0.0001941491274217,0.00000705306644819049,0.000509419109982912
14.9189467735238,0.000178283865220489,0.0000047875954364719,0.000484724608342188
15.4042783094162,0.000163370782544231,0.00000309659363224891,0.000458575522488895
15.9053982721532,0.000149374405328766,0.00000173606446752785,0.00043531851932269
16.4228202785179,0.000136259733224169,0.000000738484735260587,0.000415494204524743
16.9570746538739,0.000123992245173838,0.000000271499236361785,0.00039438629817014
17.5087089757157,0.000112537905206865,0.0000000716821004499339,0.000374562321434115
18.0782886349017,0.000101863168457864,0.00000000139900206983488,0.000357206453312155
18.6663974151445,0.0000919349874296555,0,0.00034147892729725
19.2736380913528,0.0000827208185158142,0,0.00032377785595513
19.9006330474385,0.0000741886288017689,0,0.000305321145138933
20.5480249142213,0.0000663069031650777,0,0.000287204023776593
21.2164772280853,0.0000590446516977477,0,0.000269927861436608
21.9066751110623,0.0000523714174759973,0,0.000255580955926853
22.6193259730398,0.0000462572847057453,0,0.000242630173167541
23.3551602368117,0.0000406728872755043,0,0.000230178087874162
24.1149320867161,0.0000355894177522022,0,0.000215887339431593
24.8994202416278,0.0000309786368600035,0,0.00020219484035475
25.7094287530963,0.0000268128834874913,0,0.000190022674113497
26.5457878294488,0.0000230650852747839,0,0.000178360222381735
27.4093546867021,0.0000197087698395674,0,0.000167390432807746
28.3010144271555,0.0000167180767097945,0,0.000158320619734527
29.2216809465656,0.0000140677700413987,0,0.00014912603186016
30.1722978708329,0.0000117332522121462,0,0.000140600068322704
31.1538395231594,0.00000969057839838645,0,0.000130897674860318
32.1673119226691,0.00000791647226072662,0,0.000122001083941949
33.2137538155155,0.00000638834288864165,0,0.000114709814990586
34.2942377395311,0.00000508430318427764,0,0.000108217432715347
35.4098711235126,0.000003983189904281,0,0.000101026876411803
36.5617974222662,0.00000306458562844642,0,0.0000938884906544368
37.7511972885776,0.00000230884298968127,0,0.0000881222426589657
38.9792897833078,0.00000169711158783167,0,0.0000828050616428991
40.2473336248544,0.00000121136813035391,0,0.0000772481648603893
41.55662847926,0.000000834450511632192,0,0.0000720420497290922
42.9085162922887,0.000000550096786142816,0,0.000066798292338046
44.3043826648371,0.000000342990353641888,0,0.0000619660333241788
45.7456582730892,0.000000198813238379937,0,0.0000578191939319582
47.2338203348703,0.000000104310265521708,0,0.0000536303801811753
48.7703941237031,0.0000000473685430321428,0,0.0000496238587797839
50.3569545321189,0.0000000171197034929388,0,0.0000459118727857797
51.9951276858238,0.00000000407888072690222,0,0.0000424998078216074
53.6865926103765,0.000000000351230405573907,0,0.0000393297219136157
55.4330829520852,0.00000000000000000000000000000000340240384842126,0,0.0000362704760227427
