"dataset","m","estimate_t","lower95_t","median_t","upper95_t"
"Late-Quaternary fauna",15034,20.5298849627637,10.6373619281528,19.9156879734311,42.9849223080798
"Late-Quaternary fauna",15693,20.777159448805,10.7146493077763,20.1421042916971,43.7652604166352
"Late-Quaternary fauna",16381,21.0244178601781,10.7901655176483,20.3801813181257,44.6165273725319
"Late-Quaternary fauna",17099,21.2715300195183,10.9019039197661,20.6366017089486,45.5155507585788
"Late-Quaternary fauna",17849,21.5186864557402,11.0105208147271,20.8940959348371,46.3828803342801
"Late-Quaternary fauna",18632,21.765713695774,11.1130788284999,21.1340963268234,47.2220270918376
"Late-Quaternary fauna",19449,22.0124426925862,11.2152359370508,21.3635417541802,48.068485035987
"Late-Quaternary fauna",20302,22.2589925935521,11.3009860870823,21.6016094789053,48.9227127966126
"Late-Quaternary fauna",21192,22.5051694604965,11.3849431008455,21.8479190898335,49.7811569789874
"Late-Quaternary fauna",22122,22.751307049298,11.4684139426399,22.0786786633893,50.6569903149469
"Late-Quaternary fauna",23092,22.9969165952126,11.5451184517637,22.3126434953671,51.5850657035137
"Late-Quaternary fauna",24104,23.242042255671,11.6201882275303,22.5530564174776,52.5111762651159
"Late-Quaternary fauna",25162,23.4871533020132,11.6947360853948,22.7529404823796,53.4491192848699
"Late-Quaternary fauna",26265,23.7315324832742,11.7685515103259,22.9695956003622,54.3699587507087
"Late-Quaternary fauna",27417,23.975597193137,11.8417689687222,23.1893295258539,55.309080804802
"Late-Quaternary fauna",28619,24.2190785879727,11.924985788007,23.4098357970254,56.2518097800526
"Late-Quaternary fauna",29874,24.4621100184045,12.0148804610386,23.6440174263953,57.2009750624323
"Late-Quaternary fauna",31184,24.7045994282165,12.104228562518,23.8532310647621,58.2079017059764
"Late-Quaternary fauna",32552,24.9466213370399,12.1930619811261,24.06342199295,59.1411976512076
"Late-Quaternary fauna",33979,25.1878846576669,12.2812786701658,24.2647555099993,60.084593213215
"Late-Quaternary fauna",35469,25.4286009704361,12.3689608621243,24.4903136514928,61.0348918453745
"Late-Quaternary fauna",37025,25.6687736719746,12.4561141238399,24.710224712793,61.9921351461298
"Late-Quaternary fauna",38648,25.9080949596978,12.5426316285605,24.9407287034074,62.9551077424045
"Late-Quaternary fauna",40343,26.1468403097143,12.6286178074031,25.1449975908053,63.9249281200712
"Late-Quaternary fauna",42113,26.3849538002346,12.7140568287922,25.3927303524412,64.8495215214562
"Late-Quaternary fauna",43959,26.6221159562679,12.7988390364266,25.6294833075379,65.693843349958
"Late-Quaternary fauna",45887,26.8586424045887,12.8830821576825,25.8602755634118,66.6010526608341
"Late-Quaternary fauna",47899,27.0943156783881,12.9715957282668,26.0688785818193,67.6890075553151
"Late-Quaternary fauna",50000,27.329263319895,13.0613483868183,26.2974753892561,68.7862293729398
"Extant fauna",31,0.0517028131138546,0.0503151475764521,0.0542223349396986,0.0634020558266559
"Extant fauna",32,0.0537658296540938,0.050457712577569,0.0553397504748578,0.0657335194047585
"Extant fauna",34,0.0579056923489629,0.0507662704716675,0.0583232473165859,0.0701128576718735
"Extant fauna",35,0.0599815726065308,0.0510483123414218,0.0600837077172275,0.0726441770862126
"Extant fauna",36,0.0620608368693368,0.051739864467356,0.0620518246855251,0.0751757933956669
"Extant fauna",38,0.066227966147314,0.053772933015177,0.0660114425667687,0.0801693752199405
"Extant fauna",39,0.0683151264187879,0.0551573058069442,0.0680567245599092,0.082755403380513
"Extant fauna",41,0.0724950633856802,0.0581474638679155,0.0722719278179412,0.0880084700672005
"Extant fauna",42,0.0745872761148599,0.0597849295897358,0.0744519982236024,0.0906478973466872
"Extant fauna",44,0.0787749236099725,0.0627433566209584,0.0786013007445315,0.09602982542001
"Extant fauna",46,0.0829653736736621,0.0657644544231932,0.082835273217924,0.101617043949709
"Extant fauna",48,0.0871570362823138,0.0688128729906591,0.0870676474425173,0.106991687590084
"Extant fauna",50,0.0913485218776715,0.0720727095972486,0.0912681782783583,0.112804092858607
"Extant fauna",52,0.0955386127920812,0.0752048028112971,0.0954935166933036,0.118457875471941
"Extant fauna",54,0.0997262394601431,0.0782812524207016,0.099655749979547,0.12414208627005
"Extant fauna",56,0.103910460490619,0.081222954863438,0.103826009218139,0.129927276730108
