,Route,Head.Length,SV.length,Total.Length,Tail.Girth,Neck.Girth,Chest.Girth,Weight,Sex,Deformities_Notes
163,WCA3A-HD_Marsh,23,83.5,164,31.5,30,38,12,M,None
164,WCA3A-HD_Marsh,32.5,114,219.6,48.5,48.5,56,34,M,None
165,WCA3A-HD_Marsh,24,91,177,38.5,34.8,43.5,17.4,M,None
166,WCA3A-HD_Marsh,20.5,75.2,149,27,26.2,30.5,8.2,M,None
167,WCA3A-N41_Marsh,28.2,102.3,194.5,42.5,41.5,50.7,25,F,None
168,WCA3A-N41_Marsh,25,82.5,170.5,36.7,35.5,39.8,16,M,None
169,WCA3A-N41_Marsh,28,102.1,199.7,40.7,37.2,46.9,21.5,M,None
170,WCA3A-N41_Marsh,16.3,57.5,115.1,21.6,20.9,25.1,4.2,F,None
171,WCA3A-N41_Marsh,22.5,89.4,171.6,32.2,32.3,37.1,12.5,M,None
172,WCA3A-N41_Marsh,19.1,71.7,142,28.7,26.6,32.6,7.75,M,None
173,WCA3A-N41_Marsh,22.1,82.5,162.8,32.7,29.5,35.7,12.5,F,None
174,WCA3A-N41_Marsh,27.7,103.5,201,40.4,37.8,43,24,F,None
175,WCA3A-N41_Marsh,22.7,84.7,166,33.2,32.7,37,NA,M,None
176,WCA3A-TW_Marsh,21.7,82.9,158,30.7,30.8,35.5,12,M,None
177,ENP-FC,26.5,99.5,196,35.5,38,44,19.5,F,None
178,ENP-FC,27.5,99.5,196.5,40,38.4,46,22,F,None
179,ENP-SS,16,58,120,22,21,26,4.4,M,None
180,ENP-SS,25,97,193,38,35.5,44,22,F,None
181,ENP-SS,27,102,203.5,33,33,43,17,F,None
182,ENP-SS,26.5,98,197.5,39,38,49,22,M,None
183,ENP-SS,32.5,118,232,43,39,55,33,M,None
184,ENP-SS,22.5,87,175,35,32.5,41,15,F,None
185,WCA2A_Marsh,17.7,64.1,129.5,24.3,23.6,29.4,5.2,F,None
186,WCA2A_Marsh,26.8,101.4,193.9,39,36,45.5,18.6,F,None
187,WCA2A_Marsh,28.3,104.3,207.8,40.3,39.2,46.4,22,F,None
188,WCA2A_Marsh,29.3,105.5,208.7,42.3,17,20.5,29,F,None
189,WCA3A-HD_Marsh,15.9,59,119,21,20.3,22.2,5,F,None
190,WCA3A-N41_Marsh,16.8,62.5,126.5,23.3,21.7,26.2,5.5,M,None
191,WCA3A-N41_Marsh,32.8,118.5,236.6,47.3,45,54.1,40,M,None
192,WCA2A_Marsh,25.5,94.3,187.3,37.6,39,46.5,19.5,F,None
193,ENP-EST,25.7,104.1,204.1,35,32.7,41.2,20,F,None
194,ENP-EST,35.4,127.5,254,51.5,53.4,67.5,45,M,None
195,WCA3A-HD_Marsh,28,101.8,200.1,30.4,31,39.5,18,F,None
196,ENP-EST,20.8,76.4,149.5,29.3,27,34.8,8.5,M,None
197,ENP-EST,32.3,115.7,219.5,43.6,46.5,56.2,33.5,M,None
198,ENP-EST,21.7,86.2,167.2,32.6,31.6,40.7,13,M,None
199,ENP-EST,26.4,98.6,192.6,36.7,37.6,44.5,18.5,M,None
200,ENP-EST,20.5,79,154.7,32.3,30.5,37.9,11,M,None
201,ENP-EST,27.3,100.5,198.8,41.5,37.9,51.8,28,M,None
202,ENP-EST,44,162.5,313.5,66,73,95.9,111,M,None
203,ENP-EST,20.5,76.5,153,30.5,27.5,35,6.4,M,None
204,Lox_Marsh,19.5,73,146.2,29,27,33,7.8,M,None
205,Lox_Marsh,18.5,68.9,136,27,24.5,30.7,6.5,M,None
206,Lox_Marsh,15.9,58.2,118.9,22.5,21,27.5,4,F,None
207,Lox_Marsh,14,50,100.4,18.8,19.7,25,2.6,M,None
208,Lox_Marsh,24.5,90,181,36,33.5,43.5,15.2,M,None
209,Lox_Marsh,32.5,121.5,235,50.3,47.5,63.5,40,M,None
210,Lox_Marsh,15.5,56.5,111.5,21,20,23.5,3.4,F,None
211,Lox_Marsh,28.8,108,200,45.5,41.5,54,28,F,Incomplete tail
212,Lox_Marsh,38.5,140.4,264,55.5,60,73.5,65,M,None
213,Lox_Marsh,17.5,63.7,120.8,24.2,23,29.2,5,M,None
214,Lox_Marsh,32.3,118.5,222.7,50.5,49.3,58.5,36,M,None
215,Lox_Marsh,33.5,126,198.5,44.3,47.2,60.7,34,M,Incomplete tail
216,Lox_Marsh,29.5,113.6,216.1,45.7,49.7,57.3,32,F,None
217,Lox_Marsh,20,73.9,147.9,29.8,27,35.5,8.3,F,None
218,Lox_Marsh,19,69.5,139,27.5,27.5,36.3,6.9,F,None
219,WCA3A-N41_Marsh,NA,NA,NA,NA,NA,NA,NA,M,None
220,WCA3A-N41_Marsh,21,76.4,148.1,30.9,29.4,38.5,9.3,F,None
221,WCA3A-N41_Marsh,26.3,98,188.5,38.5,34.2,41.5,19,M,None
222,WCA3A-N41_Marsh,18.2,64.3,133.8,25,25.4,29.1,5.5,F,None
223,WCA3A-N41_Marsh,29.7,112.5,213,43,41.3,53.7,29,F,None
224,WCA3A-N41_Marsh,33,118.5,224,46,44,55,42,M,None
225,WCA3A-N41_Marsh,31.5,115,228,49,44,57,42,M,None
